text,hoax
Flat Isolasi Mandiri Terisi 1.771 OTG dan Hotel Isolasi Mandiri DKI 460 OTG,0
"Munculnya Klaster Baru COVID-19, Wiku: Klaster Perkantoran Menjadi Perhatian Masyarakat",0
CEO Kitabisa.com: Dana Rp 130 Miliar Terkumpul untuk Bantu Sesama Selama Pandemi COVID-19,0
Bisnis Online! Peluangnya Makin Terbuka,0
#CariTauVaksin: Mengapa Vaksin Penting?,0
Mengapa Vaksin Penting?,0
Pemerintah Optimis Kebersamaan Seluruh Komponen Bangsa Mampu Lawan COVID-19,0
Maklumat Kapolri Mengantisipasi Penyebaran Pandemik COVID-19 di Tengah Masyarakat,0
Program Banpres Produktif Usaha Mikro Capai 100% dan Resmi Perluas Penerima Manfaat,0
Pengadaan Vaksin Melalui G to G Terjamin Keasliannya,0
"Operasi Yustisi Diluncurkan, Dorong Masyarakat Tingkatkan Disiplin Protokol Kesehatan dengan Penindakan Langsung",0
Tautan Pendaftaran Subsidi Listrik PLN,1
Vaksin Sinovac Bukti Komitmen Pemerintah Atasi Covid-19,0
"Indonesia berduka, 10 Dokter meninggal pada hari yang sama akibat terinfeksi Covid-19",1
Gugus Tugas Rekomendasikan Standar Penggunaan Masker Cegah COVID–19,0
"Kasus Positif COVID-19 Naik 684, Pasien Sembuh 471, Meninggal 35",0
Vaksin Meningkatkan Imunitas Tubuh,0
Pemerintah Indonesia Siapkan 10 Ribu Tempat Tidur di 1000 RS Khusus Pasien COVID-19,0
Agar Cepat Sembuh Tanamkan Pikiran Positif Selama Menjalani Perawatan COVID-19,0
"Terapi Plasma Convalescent, Pengobatan Alternatif Pasien COVID-19",0
Pilkada 2020 Sumenep Siap Digelar,1
Kemenkes Kembangkan Laboratorium Uji Spesimen COVID-19,0
[Top 5] Topik Teratas Periksa Fakta MAFINDO Periode 7-13 Maret 2020,1
"Bukannya memotong gajinya untuk mereka para tim medis, malah memotong tunjangan para tim medis.",1
Data Vaksinasi COVID-19 (Update per 24 April 2021),0
Hotel Isolasi Mandiri Terus Tampung Pasien OTG,0
Infografis COVID-19 (23 Agustus 2020),0
Video Doa Imam Besar Masjidil Haram Mekah Assyeikh Sudais terhadap Musibah Virus Corona,1
Infografis COVID-19 (17 April 2020),0
Kasus Aktif COVID-19 di 12 Kabupaten/Kota Lebih dari 1.000,0
"Vaksin COVID-19 GRATIS, Tanpa syarat!",0
566 Pasukan Dikerahkan Dukung Operasional RS Darurat COVID-19 Wisma Atlet Kemayoran,0
Infografis COVID-19 (26 Juli 2020),0
Data Vaksinasi COVID-19 (Update per 2 Februari 2021),0
corona virus sudah viral di iqro,1
Presiden: Tetap Jalankan Protokol Kesehatan dengan Disiplin,0
Mendikbud: Semua Guru Honorer Berpeluang Menjadi P3K Tahun 2021,0
Kedatangan Vaksin COVID-19 Tahap Keempat di Indonesia,0
MPR Ajak Masyarakat Disiplin Terapkan Lima Langkah Cegah COVID-19,0
Pasien Sembuh Harian Bertambah 4.545 Orang,0
Tetap Produktif Meski di Rumah di Saat Pandemi COVID-19,0
"[FALSE] “Italy Arrest Doctor for Intentionally Killing Over 3,000 Coronavirus Patients”",1
Infografis COVID-19 (09 Juli 2020),0
112 Wilayah Administrasi Kabupaten dan Kota Masuk Daftar Zona Hijau,0
"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
DIY Menjadi Daerah Percontohan Untuk New Normal,1
Saring sebelum Sharing Informasi Melalui Ruang Digital Lawan COVID-19,0
Perubahan Perilaku Jadi Kunci Pencegahan COVID-19,0
Foto Kremasi massal saat melonjaknya jumlah kasus infeksi Covid-19 India,1
Berkumur dengan Air Hangat dan Air Garam Dapat Menghilangkan Virus Corona,1
Satgas COVID-19: Keputusan Mahkamah Agung Dukungan Penting Menuntaskan Pandemi,0
RS Darurat COVID-19 dan Flat Isolasi Mandiri Terisi 4.059 Pasien,0
Infografis COVID-19 (9 Mei 2020),0
Lindungi Sesama dari Penularan COVID-19 dengan Disiplin Pakai Masker,0
"vaksin korongna itu mRNA, ini bukan vaksin tapi terapi gen, mRNA ini jadi instruksi untuk menyebabkan mutasi",1
Video Anda Harus Tahu Kebenaran ada Jarum Suntik/Spuit Palsu Dipersiapkan untuk Para Pemimpin Dunia,1
Antisipasi Lonjakan Kasus Dengan Memastikan Kewajiban Karantina Mandiri Dipatuhi,0
Gubernur Riau dikabarkan dilarikan ke ICU RSUD Arifin Ahmad,1
Tim Kampanye Donald Trump Galang Dana Untuk Kesembuhan Trump,1
Belajar dari Sejarah Pandemi Flu Spanyol 1918,0
Presiden: Jadikan Penanganan COVID-19 sebagai Model Percepatan Pengurangan TBC,0
[FALSE] “India Lockdown Failed!!” Video,1
Satgas Covid-19 Dorong Daerah Manfaatkan Indikator Peta Risiko,0
"Penanganan Mingguan Membaik, Pemerintah Perpanjang PPKM",0
Kesiapsiagaan Bencana Penting Guna Cegah Penularan Covid-19 Di Pengungsian,0
Infrastruktur dan SDM Indonesia Siap Lakukan Vaksinasi COVID-19,0
Kesembuhan Harian Meningkat Pesat di Maluku Utara,0
Infografis COVID-19 (10 Juli 2020),0
Awas Hoaks! - Formulir Online Palsu Pengajuan Banpres Produktif Usaha Mikro,1
Vaksinasi COVID-19 Tahap Kedua Dimulai,0
"Gibran: Kata Bapak Jadi Pemimpin Itu Tidak Perlu Pintar, Makanya Saya Akan Mencanlonkan Diri Menjadi Walikota",1
"Tingkatkan kekebalan tubuh,kurangi risiko COVID-19",0
Pasien Sembuh Terus Meningkat Mencapai 1.522.634 Orang,0
Pekan Ketiga September Pasien Sembuh Lebih Dari 72%,0
Pemerintah Ajak Pihak Swasta Sukseskan Vaksin Merah Putih,0
Apakah Vaksin COVID-19 adalah Obat?,0
"Kasus OTG Terkonfirmasi Positif COVID-19 di Jatim Naik, Khofifah Minta Warga Jangan Mudik",0
Ini Kiriman Video Betapa Dahsyatnya Wabah Covid 19 di Amerika,1
Vaksin Sinopharm Memiliki Tingkat Efikasi Tinggi,0
Pasien Sembuh Terus Meningkat Mencapai 1.552.532 Orang,0
"Menurut laporan WHO, Corona Virus adalah yang paling banyak bertahan di lapisan kubis",1
"Hilirisasi Teknologi Nasional, Langkah Strategis BPPT dalam Menghadapi Pandemi",0
Sebanyak 734 WNI Terpapar COVID-19 di Luar Negeri,0
Infografis COVID-19 (28 Agustus 2020),0
Optimisme Vaksin Pulihkan Ekonomi,0
Data Vaksinasi COVID-19 (Update per 24 Maret 2021),0
Kesembuhan Kumulatif COVID-19 Mencapai 496.886 Orang,0
"Foto Demonstrasi di Paris, Prancis",1
Yuri: Sebagian Besar Penambahan Kasus Positif COVID-19 Adalah OTG,0
Upaya Pencegahan Serta Penyembuhan Maksimal Jadi Solusi Terhadap Stagnasi Angka Kematian,0
Vaksin Sinovac Kadaluwarsa 25 Maret 2021 dan Dibuat Sebelum Pandemi,1
"Kasus Meninggal Karena COVID-19 Jadi 459, Sembuh 426 dan Positif 4.839 Kasus",0
VAKSINASI PRESIDEN HARUS DIULANG DAN HATI-HATI DENGAN VAKSINASI,1
"Muncul Cluster Baru, DKI Jakarta Giat Lakukan Surveilans",0
Presiden Dorong Sinergi dan Kolaborasi antar Negara ASEAN untuk Tangani COVID-19,0
Relaksasi Penyampaian Dokumen Kelengkapan SPT Tahunan 2019 di Tengah COVID-19,0
Jubir Pemerintah: Yakinlah Kita Bisa Lewati Pandemik COVID-19,0
Video Jarum Suntik Menghilang Saat Proses Vaksinasi Covid-19,1
Data Vaksinasi COVID-19 (Update per 3 Mei 2021),0
"Positif Covid Disebabkan oleh Kekurangan Vitamin, Bukan oleh Virus",1
"Setelah Divaksin, Tubuh Punya Daya Magnetis dan Dapat Dikoneksikan ke Bluetooth",1
Pasien Sembuh Dari COVID-19 Semakin Bertambah Menjadi 1.016.036 Orang,0
Satgas COVID-19 Tekankan Perilaku Disiplin Protokol Kesehatan Langkah Utama Atasi Pandemi,0
Dokter RSAL Surabaya Meninggal akibat Covid-19,1
Bill Gates akan Meluncurkan Kapsul Implan Manusia untuk Melawan Virus Corona,1
Analisis Data COVID-19 Indonesia (Update Per 04 April 2021),0
Data Vaksinasi COVID-19 (Update per 28 Maret 2021),0
Infografis COVID-19 (14 Mei 2020),0
Jokowi Korupsi 59 Triliun di Tengah Wabah Corona,1
Video rumah sakit terkenal di Brazil kosong padahal katanya ada 5000 orang yang positif corona,1
Pasien Sembuh Terus Meningkat Mencapai 1.535.491 Orang,0
Memakai Masker Secara Terus Menerus Akan Menyebabkan Kanker Paru-Paru,1
Monitoring Kepatuhan Protokol Kesehatan Tingkat Nasional (Update Per 7 Maret 2021),0
Perkuat Protokol Kesehatan untuk Ramadan Lebih Aman,0
Kesembuhan COVID-19 Meningkat Lagi Menjadi 1.189.510 Orang,0
Masjid Siap Jadi Sentra Vaksinasi dan Prioritaskan Lansia,0
Lagu Corona dr Bimbo.. Lagu 30 Tahun yang Lalu Jadi Kenyataan Sekarang,1
Pesan Berantai Whatsapp Bantuan Sosial Finansial Rp3.550.000 Dari BPJS Kesehatan,1
3 Hari ke Depan Arus Angin dari Utara ke Arah Selatan yg Membawa Wabah (Penyakit) akan Melewati Indonesia Menuju Australian,1
Kenali Gejala Long Covid dan Manfaat Vaksin Jika Sampai Terkena COVID-19,0
Daerah Merah Segera Berbenah Agar Tidak Kewalahan Mengantisipasi Dampak Mudik,0
Dukungan Keluarga Menjaga Imunitas Pasien Positif COVID-19,0
Obat dan Bahan Herbal Mencegah Covid,1
Penanganan COVID-19 Pada Provinsi Prioritas Guna Menekan Konstribusi Kasus Nasional,0
Distribusi Vaksin Covid-19 Untuk Menjamin Ketersediaan Yang Merata,0
"Belajar Tatap Muka RESMI Januari 2021, Anak Wajib Swab Test Sebelum Sekolah",1
Infografis COVID-19 (26 Mei 2020),0
Tulisan TO: FRONT PEMBELA ISLAM di Foto Paket Bantuan COVID-19 Tiongkok,1
Perkembangan Mingguan Jadikan Upaya Meningkatkan Penanganan,0
Pasien Sembuh Terus Meningkat Mencapai 1.290.790 Orang,0
Pasien Sembuh Harian Di Riau Meningkat Pesat,0
Perluasan Jejaring Laboratorium Daerah Guna Tingkatkan Kapasitas Tes,0
Masyarakat Diminta Tidak Meragukan Manfaat Vaksinasi ,0
Pilkada 2020 Jadi Sejarah Baru Pemilu Indonesia,0
Vaksinasi Dilakukan Bertahap,0
"Tak Perlu Ikut Rapid Test, Mencium Bau Cuka Bisa Deteksi Seseorang Terkena Covid-19 Atau Tidak",1
"Trenggalek Sabet Empat Penghargaan Inovasi Daerah Aman COVID, Ini Rahasianya",0
[Top 5] Topik Teratas Periksa Fakta MAFINDO Periode 28 Maret-3 April 2020,1
Satgas: Optimalkan Masa PPKM Untuk Tekan Laju Kasus,0
Penuhi Hak Imunisasi Anak Sekalipun Pandemi,0
Masa Lockdown di Kanada Berakhir Sejak 1 Maret 2021,1
Ahli Epidemiologi Minta Klaster Secapa TNI AD Dijadikan Pembelajaran,0
Pemerintah Finalisasi Roadmap Vaksinasi Nasional,0
Satgas Sampaikan Progres Posko Covid-19,0
Manajemen Harus Beri Sanksi Pegawai Pelanggar Protokol Kesehatan,0
Awas Hoaks: Vaksin Sinovac Mandiri Seharga Rp.600 Ribu,0
Pelaksanaan Perdana Vaksinasi COVID-19 Gotong Royong untuk Pekerja,0
Jubir COVID: Penambahan Kasus Positif Baru Masih Berfluktuasi,0
Gugus Tugas Bekerja Sama dengan Kalbe Farma Siap Layani 4.000 Tes PCR Gratis,0
Memahami Perilaku dan Informasi Tepat untuk Mencegah Penularan COVID-19,0
Pemerintah Wajibkan Warga Kenakan Masker Saat Beraktivitas di Luar Rumah,0
Peniadaan Mudik Lebaran Mencegah Potensi Penularan Akibat Mobilitas Orang Secara Masif,0
"Bersatu Lawan COVID, Aplikasi Berbasis Gawai Permudah Masyarakat Antisipasi COVID-19",0
Cerita Salat Jumat di Berbagai Negara Saat Pandemi,0
Vaksinasi COVID-19 bagi Penyandang Disabilitas,0
Hanya 13 Ribu Orang di Britania Raya yang Terinfeksi Covid-19 pada Tahun 2020,1
Menerima Donor Darah dari Orang yang Sudah di Vaksinasi Covid-19 Berbahaya,1
RSKI Pulau Galang Masih Rawat 62 Pasien COVID-19,0
Pasien Sembuh Dari Covid-19 Terus Bertambah Menjadi 398.636,0
Pelaku Ekonomi Kreatif Optimis Bisa Bangkit dari Pandemi,0
Prinsip Utama Vaksin COVID-19: Aman dan Efektif,0
Data Vaksinasi COVID-19 (Update per 19 Februari 2021),0
Satgas Covid-19: Vaksin Menstimulasi Imunitas Tubuh,0
Data Vaksinasi COVID-19 (Update per 18 Februari 2021),0
Edaran Terbaru Satgas Upaya Menghidupkan Produktivitas Yang Sehat dan Aman COVID-19,0
"Awas Hoaks - ""Setelah Divaksin Maka Kasus HIV dan Kanker Akan Meledak""",0
"Penggunaan Thermal Gun Dapat Merusak Otak, Yuri: Itu Statement Tidak Benar",0
Awas Misinformasi: Nama di Surat Vaksinasi Harus Sesuai dengan Paspor,0
"Pengendalian COVID-19 Dengan 3M, 3T, Vaksinasi, Disiplin, Kompak, dan Konsisten Buku 2",0
"Delapan Juta Dosis Vaksin Tahap 13 Tiba, Vaksinasi Diharapkan Sesuai Target",0
"Hasil Riset Inovasi Produksi Rapid, PCR Test Kit, dan Ventilator",0
Vaksin COVID-19 Produksi Sinovac Suci dan Halal,0
Pendekatan Gugus Tugas Riau Tangani Kasus COVID-19,0
Video Vaksinasi di.mall T.Anggrek,1
Kesembuhan COVID-19 Terus Meningkat Mencapai 1.475.456 Orang,0
440.000 Tenaga Kesehatan dan 23.000 Vaksinator Disiapkan untuk Pelaksanaan Vaksinasi,0
"Pasien Sembuh COVID-19 Tembus Angka 1.002, Kasus Positif 8.211",0
Pasien Sembuh COVID-19 Melebihi Setengah Juta Orang,0
Hindu di India Melemparkan Patung Buatan Mereka ke Laut karena Tidak Bisa Menolong Mereka dari Corona,1
Masuk Kota Sukabumi Harus Memiliki Surat Keterangan dari Kepolisian Domisili,1
Menggenjot Sektor UMKM dan Daya Beli Publik di tengah Pandemi,0
"Doni Monardo Bersama Ketua MPR, Mengajak Masyarakat Gotong Royong dan Bersatu Melawan COVID-19",0
Dilarang Berdekatan dan Dilarang Berkumpul,0
Petugas Verifikator Perketat Pemeriksaan Hasil Tes Covid-19 Bagi Pelaku Perjalanan,0
Monitoring Kepatuhan Protokol Kesehatan Tingkat Nasional (Update Per 14 Maret 2021),0
Menko Polhukam: Jaga Imunitas Jasmani dan Rohani Selama Ramadan di Tengah Pandemi COVID-19,0
"Yang bikin banyak positif bukan acara pernikahannya, tapi testnya",1
"Anggap Semua Orang OTG, Trik Cegah COVID-19",0
Satgas Covid-19: Penerapan PSBB Ketat Harus Memperhatikan Multisektor,0
Tautan Subsidi Pulsa dan Kuota Kemendikbud Periode Lebaran,1
Foto Seorang Lansia Menggunakan Alat Bantu Pernapasan di Jalan karena Kasus Covid-19 di India Meningkat Drastis,1
BIO FARMA Dipercaya untuk Produksi Vaksin COVID-19,0
"Golden Swalayan Jadi Klaster Baru Covid-19, Warga Wajib Lapor RT Jika Ingin Berkunjung",1
Infografis COVID-19 (25 Juni 2020),0
[BERITA] Update Status Terkait Penutupan Beberapa Destinasi Wisata di DIY,1
Ahli Epidemiologi Imbau Masyarakat Tetap Waspada Potensi Penularan COVID-19 di Zona Hijau,0
Daerah Jangan Lengah Selama Libur Akhir Tahun Agar Tidak Masuk Zona Merah,0
Kasus Aktif Covid-19 di Indonesia Lebih Rendah Dibandingkan Negara Lain,0
"Berita Terbaru Hari Ini ~ 48 Orang Te.was Setelah Di Vaksin Coro.na, Agenda Ja.hat Re.zim Terungkap!",1
Data Vaksinasi COVID-19 (Update per 1 Maret 2021),0
Untuk Mengalahkan Virus Korona Adalah Mengambil Lebih Banyak Makanan Alkali yang Berada di Atas Tingkat PH Virus,1
Pendataan Imunisasi COVID-19 untuk Tenaga Medis dan Non Medis oleh Dinas Kesehatan Provinsi DKI Jakarta,1
"Antisipasi Varian Baru Covid-19, Pemerintah Tutup Sementara Perjalanan WNA ke Indonesia",0
"Kasus Positif COVID-19 Bertambah 433 Orang, Pasien Sembuh Jadi 1.591",0
sakit mendadak oleh vaksin,1
Video Nasehat dari alm. Erma Yunita Simamora yg Meninggal pd Tanggal. 20-04-2020 di RS AR Bunda Lbk Linggau,1
Kota Cirebon Lockdown,1
Vaksin Perlu Didukung Kepatuhan Masyarakat Menerapkan 3M,0
Perayaan Idul Adha dengan Penerapan Protokol Kesehatan di Masa Pandemi COVID-19,0
Kasus Aktif COVID di Indonesia Di Bawah Rata-Rata Dunia,0
"Vaksin Tahap ke-10 Tiba, Bentuk Konsistensi Pemerintah Amankan Pasokan",0
"Awas Hoaks - ""Lebih Mudah Terinfeksi COVID-19 Setelah Divaksin""",0
Enam Arahan Presiden untuk Bendung Penyebaran COVID-19,0
Vaksin Efektif Menghentikan Penyebaran Infeksi Penyakit Menular,0
Video Setelah disuntik vaksin pingsan tak sadarkan diri,1
Merry Riana: Pandemik COVID-19 Ibarat Masa Ulat Menjadi Kepompong,0
Data Vaksinasi COVID-19 (Update per 21 Februari 2021),0
"Warga Bisa Gunakan Masker Kain Cegah Antisipasi COVID-19, Asal Jaga Jarak",0
"Gara-Gara Virus Corona, TKA China Digaji 200 Juta Per Bulan",1
Bulog Jamin Stok Beras Jelang Idul Fitri di Tengah Pandemi COVID-19 Aman dan Tercukupi,0
Antisipasi La Nina Saat Pandemi COVID-19 Jadi Momentum Menjaga Alam,0
Tidak Ada Kasus Covid-19 di Bhutan karena Penduduknya Vegetarian,1
Menristek/Kepala BRIN Resmikan Pengoperasian Mesin Cobas 6800 Systems untuk Peningkatan Kapasitas Uji COVID-19,0
Satgas Covid-19: Perkembangan Penanganan Membaik Bukan Alasan Berpuas Diri,0
Pesan Singkat Rektor Unsoed soal Dana untuk Mahasiswa,1
"Menghirup Kapur Barus, Cengkeh, Biji Karom, dan Minyak Kayu Putih dapat Meredakan Sesak Nafas Akibat Infeksi COVID-19",1
Vaksin+3M+3T Paket Ampuh Lawan COVID-19,0
Keputusan Menteri Kesehatan Republik Indonesia nomor 9860 Tahun 2020,0
Gereja Terapkan Disiplin Protokol Kesehatan,0
Vaksin COVID-19 Efektif Meski Virus COVID-19 Bermutasi,0
Infografis COVID-19 (2 September 2020),0
Kesembuhan Harian Tembus Angka 4.088 Kasus,0
"Awas Hoaks - ""Setelah Divaksin Maka Kasus HIV dan Kanker Akan Meledak""",1
Infografis COVID-19 (20 Juni 2020),0
"KASAD klarifikasi, anggota TNI di bandung ternyata rata2 membantah Positif kena Covid 19",1
Jangan Abaikan Imunisasi Rutin Anak Meski Ada Pandemi COVID-19,0
Staycation Pilihan Terbaik Mengisi Libur Panjang,0
Kesuksesan Program Vaksinasi Akan Dorong Pemulihan Ekonomi,0
"Sentra Vaksinasi Bersama BUMN Terima Lansia Non-DKI, Daftar di Loket.com",0
"Penambahan Kasus COVID-19: Positif 1.082, Meninggal 51, Sembuh 864 Orang",0
Ketua Satgas Nasional Serahkan Bantuan Alat Kesehatan Penanganan COVID-19,0
Pasien Sembuh dari COVID-19 Menjadi 317.672 Orang,0
Pasien Sembuh dari COVID-19 Berjumlah 378.982 Orang,0
Indonesia Siap Produksi Baju APD 17 juta Unit Per Bulan,0
Korban Vaksin Lagi. Kini anggota Brimob di Maluku,1
"New Fatwa ‘Sholat Tanpa Wudhu Tanpa Tayamum’ Dari Mbah Kakung,Yang Akan Di Keluarkan Untuk Rakyat Negeri +62",1
Masyarakat Diminta Hindari Kerumunan Unjuk Rasa Cegah Klaster Baru,0
Protokol Kesehatan Jadi Kebutuhan Masyarakat,0
Indonesia Gunakan Fasilitas Obrolan Elektronik Chatbot COVID-19 Melalui WhatsApp,0
Pembuat APD Diharap Ikuti Kualifikasi dan Spesifikasi Bahan,0
Tips Mendonasikan Makanan di tengah Wabah COVID – 19,0
Masyarakat Tetap Disiplin 3M Setelah Vaksin Tiba,0
Vaksinasi COVID-19 untuk Pendidik dan Tenaga Kependidikan (PTK) Dimulai,0
Tahap Awal Pengadaan Vaksin COVID-19,0
COVID-19 Tidak Membuat Orang Meninggal Dunia,1
Video Rapat Program Buka Puasa DKI Jakarta Tahun Ini,1
Sistem Kerja ASN Berdasar Zona Risiko Guna Tekan Klaster Perkantoran,0
Tahap I Banpres Produktif Usaha Mikro Capai Realisasi 100%,0
Pemerintah Siapkan Kebutuhan Penanganan Pasien COVID-19,0
Kontrol Pemerintah dan Kesadaran Bersama Dukung Pengaturan Sosial Selama Pandemi,0
Pasien Sembuh Terus Meningkat Mencapai 1.568.277 Orang,0
[BERITA] Perkembangan Informasi Empat Ton Telur Bansos Pemprov Jabar Membusuk di Gudang Penyimpanan Bulog Garut,1
Sebanyak 659.437 Pasien Sembuh Dari COVID-19,0
Ternyata VAKSIN Yg Akan Di Suntikan Ke Jokowi Berbeda,1
Monitoring Kepatuhan Protokol Kesehatan Tingkat Nasional (Update Per 21 Maret 2021),0
RRI Hadirkan Guru ke Rumah untuk Anak-anak di Tengah Pandemi COVID-19,0
Data Vaksinasi COVID-19 (Update per 15 April 2021),0
Analisis Data COVID-19 Indonesia (Update Per 08 November 2020),0
Presiden Ajak Para Gubernur Kerja Keras Tangani Pandemi COVID-19,0
Satgas Imbau Daerah Tingkatkan Kewaspadaan Terhadap Tren Kasus Covid-19,0
Buat Para KADRUN Cukup Kalian Jaga Mulut Bagi Kami Adalah Bantuan,1
"Gugas COVID-19 Distribusikan APD untuk Daerah, Jakarta Terima Terbanyak Disusul Jawa Barat",0
Anies Baswedan Mengendarai Mobil Peti Mati,1
Kesembuhan di Indonesia terus Meningkat,0
"Para Penyintas Covid-19, Ayo Donor Plasma Konvalesen!",0
Presiden Jokowi Bahas Penanganan COVID-19 Bersama Tokoh Lintas Agama,0
Foto Tenaga Medis Merangkai Kata ‘BACOT!’,1
"Video Presiden Jokowi Pulang Kampung, Dia yg larang, dia yg melanggar",1
Pasien Sembuh Terus Meningkat Mencapai 1.278.965 Orang,0
Kesembuhan COVID-19 di Jawa Tengah Meningkat Pesat,0
Pasien Sembuh Terus Bertambah Menjadi 1.331.400 Orang,0
Peningkatan Zona Merah Harus Menjadi Alarm Dalam Penanganan Pandemi,0
GlaxoSmithKline (GSK) Pemilik Pfizer dan Laboratorium Virologi di Wuhan,1
Data Vaksinasi COVID-19 (Update per 22 April 2021),0
Infografis COVID-19 (18 Mei 2020),0
Foto-foto Orang Mati COVID-19 yang Dilempar ke Laut Tiba di Laut Sabah,1
Kenapa Butuh Vaksin untuk Atasi COVID-19?,0
Prof Wiku Beri Penjelasan Seputar Kejadian Ikutan Paska Imunisasi (KIPI),0
Perluas Cakupan Pemeriksaan Spesimen dengan Pengujian PCR,0
"Kemenkes: Tidak Ditutupi, Begini Alur Validasi dan Penyampaian Data COVID-19 Hingga ke Masyarakat",0
Belum Ditemukan Reaksi Anafilaktik Dalam Pelaksanaan Vaksinasi COVID-19,0
Video KELUYURAN DILUAR RUMAH? DI MALAYSIA DITEMBAK API PAKAI DRONE,1
Video ini di PGC Evakuasi Pasien COVID-19,1
Polri Tindak 18 Kasus Penyimpangan Produksi dan Distribusi APD,0
Sulawesi Selatan dan Jawa Timur Bukti Keberhasilan Penanganan COVID-19,0
Gara-gara PSBB manusia sampai Bertelur,1
Dwayne Johnson The Rock Bagikan Uang Bantuan Corona Kepada 10.000 Pengguna Facebook,1
Protokol Kesehatan dan Vaksinasi Putus Mata Rantai Penularan COVID-19,0
Ketua Gugus Tugas Tinjau Kesiapan Balai Jasa Konstruksi IV Surabaya,0
Menepis Kesalahpahaman Mengenai Thermo Gun,0
Lima Wilayah DKI Jakarta Berisiko Tinggi Penularan COVID-19,0
Penerima Vaksin Perdana Meninggal Dunia Usai Disuntik Vaksin Pfizer,1
Satgas: Siapkan Kewaspadaan Sedini Mungkin Mencegah Peningkatan Kasus Aktif Paska Lebaran,0
Tantangan Relawan COVID-19 Bergerak Tanpa Berkerumun,0
Vaksin Melindungi Masa Depan Generasi Muda Indonesia,0
Satgas: Pembentukan Posko Akan Perkuat Kebijakan PPKM,0
"Dana Rp66,5 Miliar Diterima Gugus Tugas untuk Tangani COVID-19",0
Infografis COVID-19 (7 September 2020),0
Pemerintah Siapkan Stimulus Tambahan Bagi Pekerja untuk Dorong Konsumsi Masyarakat,0
Bio Farma Siapkan Stok Vaksin Hingga 18 Juta Dosis pada bulan Mei,0
Kesembuhan COVID-19 Mencapai 505.836 Orang,0
Ciptakan Rasa Gembira pada Anak Selama COVID-19,0
"Cegah Penyebaran Covid-19, Kemendikbud Dorong Pemda Terapkan PPDB 2020 Secara Daring",0
Awas Hoaks: Vaksin Sinovac Mandiri Seharga Rp.600 Ribu,1
Pakar BNPB Ingatkan Masker Kain Sebaiknya Dipakai Maksimal Empat Jam,0
Angka Kesembuhan COVID-19 di Indonesia Terus Meningkat,0
Pasien Positif Virus Corona di Sungai Rangit Dijemput Paksa Kepolisian dan Tim Medis,1
Bantuan Pemerintah Bagi Koperasi dan UMKM Penunjang Adaptasi Bisnis pada Masa Pandemi,0
Lebih dari 48 Ribu Keluarga DKI Jakarta Terima Fasilitas dan Edukasi Cuci Tangan dari Unilever Indonesia,0
"Vaksin Gotong Royong, Upaya Perlindungan bagi Pekerja",0
LIPI Latih 800 Relawan untuk Perluas Pemeriksaan Spesimen COVID-19,0
Satgas Nasional Distribusikan Masker Guna Cegah Penyebaran COVID-19,0
Kesembuhan Total Menjadi 128.057 Kasus,0
"Bisnis Kuliner Penuh Risiko, Ditolak? Sudah Biasa",0
Alkohol Bisa Membunuh Coronavirus COVID-19,1
"Tangani COVID-19 Jatim, Gugus Tugas Serahkan Bantuan Langsung Alkes Hingga Robot Disinfektan",0
"Pasien Sembuh Terus Bertambah, Kesembuhan Total Menjadi 441.983 Orang",0
Infografis COVID-19 (31 Maret 2020),0
KLHK: Ada 29 Kawasan Pariwisata Konservasi Dibuka di Tengah Pandemi COVID-19,0
Infografis COVID-19 (2 Mei 2020),0
Penanganan COVID-19 di 10 Provinsi Prioritas Semakin Membaik,0
Arahan Presiden Soal Manajemen Penanganan Pasien Hingga ‘RS Tanpa Dinding’,0
Doni Monardo Prihatinkan Kerumunan yang Langgar Protokol Kesehatan,0
Salah Satu Solusi untuk Virus Ini adalah Secangkir Teh Sederhana,1
Disiplin dan Patuh Protokol Kesehatan Kunci Utama Menekan Penularan COVID-19 di Perkantoran,0
"Dampak PSBB, Pegawai PELNI Dibegal di Jakarta Utara",1
Orang yang Shalat Aman dari Corona,1
Hari Pertama Tahun 2021 Kesembuhan Terus Meningkat Menjadi 617.936 Orang,0
Pusat Vaksinasi Di Daerah Melalui Kolaborasi Semua Pihak,0
Jambu Kristal Putih Dapat Menangkal Covid-19,1
Orang Dewasa Tetap Perlu Imunisasi,0
Bantuan Pulsa dan Kuota Belajar Kemendikbud Periode Bulan Maret,1
Infografis COVID-19 (18 Agustus 2020),0
Komnas HAM Merestui Tindakan Tim Gugus Tugas dalam Penanganan COVID19,0
Tangkapan Layar Pengakuan Relawan Suntik Vaksin Covid-19 yang Menyebut Lupa Punya Hutang tapi Plonga-Plongo,1
Indonesia Terima 500.000 Dosis Vaksin COVID-19 Donasi dari Persatuan Emirat Arab,0
Rumah Sakit Di Lockdown Karena Pasien Vaksin Covid Pertama Mulai Makan Pasien Lain,1
"Sekeluarga Kena Corona, Tinggal di Bintaro Sektor 2",1
"Jokowi Bukan Disuntik Vaksin, Melainkan Suntik Vitamin",1
Pasien COVID-19 yang Jujur Setengah dari Kesembuhan,0
Meutya Hafid Ajak Wartawan Peduli Keselamatan Diri,0
Health Protocols Is Integral In School Opening Considerations,0
Bandung Kota Zona Hitam Corona,1
